StormName,StormReportURL,Year,Basin
Alma (Atlantic),https://www.nhc.noaa.gov/archive/storm_wallets/atlantic/atl1958/alma/,1958,Atlantic
Becky (Atlantic),https://www.nhc.noaa.gov/archive/storm_wallets/atlantic/atl1958/becky/,1958,Atlantic
Cleo (Atlantic),https://www.nhc.noaa.gov/archive/storm_wallets/atlantic/atl1958/cleo/,1958,Atlantic
Daisy (Atlantic),https://www.nhc.noaa.gov/archive/storm_wallets/atlantic/atl1958/daisy/,1958,Atlantic
Ella (Atlantic),https://www.nhc.noaa.gov/archive/storm_wallets/atlantic/atl1958/ella/,1958,Atlantic
Fifi (Atlantic),https://www.nhc.noaa.gov/archive/storm_wallets/atlantic/atl1958/fifi/,1958,Atlantic
Gerda (Atlantic),https://www.nhc.noaa.gov/archive/storm_wallets/atlantic/atl1958/gerda/,1958,Atlantic
Helene (Atlantic),https://www.nhc.noaa.gov/archive/storm_wallets/atlantic/atl1958/helene/,1958,Atlantic
Ilsa (Atlantic),https://www.nhc.noaa.gov/archive/storm_wallets/atlantic/atl1958/ilsa/,1958,Atlantic
Janice (Atlantic),https://www.nhc.noaa.gov/archive/storm_wallets/atlantic/atl1958/janice/,1958,Atlantic
Arlene (Atlantic),https://www.nhc.noaa.gov/archive/storm_wallets/atlantic/atl1959/arlene/,1959,Atlantic
Beulah (Atlantic),https://www.nhc.noaa.gov/archive/storm_wallets/atlantic/atl1959/beulah/,1959,Atlantic
Cindy (Atlantic),https://www.nhc.noaa.gov/archive/storm_wallets/atlantic/atl1959/cindy/,1959,Atlantic
Debra (Atlantic),https://www.nhc.noaa.gov/archive/storm_wallets/atlantic/atl1959/debra/,1959,Atlantic
Edith (Atlantic),https://www.nhc.noaa.gov/archive/storm_wallets/atlantic/atl1959/edith/,1959,Atlantic
Flora (Atlantic),https://www.nhc.noaa.gov/archive/storm_wallets/atlantic/atl1959/flora/,1959,Atlantic
Gracie (Atlantic),https://www.nhc.noaa.gov/archive/storm_wallets/atlantic/atl1959/gracie/,1959,Atlantic
Hannah (Atlantic),https://www.nhc.noaa.gov/archive/storm_wallets/atlantic/atl1959/hannah/,1959,Atlantic
Irene (Atlantic),https://www.nhc.noaa.gov/archive/storm_wallets/atlantic/atl1959/irene/,1959,Atlantic
Judith (Atlantic),https://www.nhc.noaa.gov/archive/storm_wallets/atlantic/atl1959/judith/,1959,Atlantic
Abby (Atlantic),https://www.nhc.noaa.gov/archive/storm_wallets/atlantic/atl1960/abby/,1960,Atlantic
Brenda (Atlantic),https://www.nhc.noaa.gov/archive/storm_wallets/atlantic/atl1960/brenda/,1960,Atlantic
Cleo (Atlantic),https://www.nhc.noaa.gov/archive/storm_wallets/atlantic/atl1960/cleo/,1960,Atlantic
Donna (Atlantic),https://www.nhc.noaa.gov/archive/storm_wallets/atlantic/atl1960/donna/,1960,Atlantic
Ethel (Atlantic),https://www.nhc.noaa.gov/archive/storm_wallets/atlantic/atl1960/ethel/,1960,Atlantic
Florence (Atlantic),https://www.nhc.noaa.gov/archive/storm_wallets/atlantic/atl1960/florence/,1960,Atlantic
Tropical Depression (Atlantic),https://www.nhc.noaa.gov/archive/storm_wallets/atlantic/atl1960/td1/,1960,Atlantic
